,Created at,User ID,Text
0,2022-06-27 00:11:50+00:00,1541212672838049793,@LivePDDave1 I got this fake womb for a reason! You know I live in a red state!
1,2022-06-23 19:17:59+00:00,1540051559932993536,"@POTUS The length of the crack pipe, what your son calls just a little bit of breathing room."
2,2022-06-20 23:33:20+00:00,1539028659247452161,"@StephenKing I love the master of horror, but the non pc Nixon era liberal comes through anytime a 70 something democrat chimes in. I really do love the master of horror but we have to agree to disagree."
3,2022-06-20 21:30:16+00:00,1538997688057974786,RT @TomFitton: Incitement?
4,2022-06-20 13:49:46+00:00,1538881797265702912,@theprism89 @POTUS 😆
5,2022-06-20 03:50:01+00:00,1538730868642136064,@SunIslandMusic Jihadi 5!
6,2022-06-19 01:11:00+00:00,1538328462099992582,"RT @PeterAlcorn1: @SecretAgent2024 I'll take the old people,  you get the economy!"
7,2022-06-19 01:10:35+00:00,1538328356432781318,"@SecretAgent2024 I'll take the old people,  you get the economy!"
8,2022-06-18 23:24:29+00:00,1538301655917240320,@USAFRecruiting This must be a picture of the troops storming Normandy.
9,2022-06-18 23:23:30+00:00,1538301409560600576,"@SecretAgent2024 Make it $10 a gallon, I know you can"
10,2022-06-18 14:17:27+00:00,1538163988877410304,"@jasonrantz Being gay and trans is the ultimate accomplishment,  what more do they need to achieve? Look where they are! 😆"
11,2022-06-18 14:16:24+00:00,1538163724124663808,@PatriotFox_Q17 😆
12,2022-06-18 12:46:56+00:00,1538141211659325441,https://t.co/7SnMNZ5met
13,2022-06-16 23:30:10+00:00,1537578308304519179,@PatriciaHeaton God help us 🇺🇸
14,2022-06-16 23:27:03+00:00,1537577527367041030,@MariusAviation The high class flyer goes with the Global Express.
15,2022-06-16 02:45:12+00:00,1537265005598490625,"@MotherFoulker ""The CCP and the cartels have asked me to support gun restrictions on law abiding citizens and I work for big dirty money"" 

CM (cocaine Mitch)"
16,2022-06-15 01:44:48+00:00,1536887415431999488,"@Ruby1011121 I need more hetero shaming and corporate sponsorship for rainbow 🌈 initiatives! Let's make it part of elementary school curriculum while we're at it. God and Santa will come back, but gay to be accepted now!"
17,2022-06-15 01:42:50+00:00,1536886922651619328,@Aeromediaimage @RAF_Cosford P51?
18,2022-06-14 23:21:26+00:00,1536851337614336000,"@PatriciaHeaton @ofctimallen All about castration, bring your money #Disney"
19,2022-06-14 18:25:03+00:00,1536776747592691715,@JohnCornyn Go to the private sector and do something productive instead of living off of tax payers money and sowing division.  Decades of fake outrage have made you obsolete!
20,2022-06-12 23:35:36+00:00,1536130124977999874,@arthanshaw Camping world sells marked up garbage campers for more than double the retail value and gouges the poorly educated with sky high interest if they don't buy with cash.  Seems like he is missing out on a key demographic.  He must be about to bail.
21,2022-06-12 23:33:18+00:00,1536129546541490181,RT @Ken05098630: https://t.co/mSgiWLdeCH
22,2022-06-12 00:23:34+00:00,1535779807673434112,"@jbjk216 THERES NO NEED FOR TRANS. I HEARD THE SAME ABOUT GUNS, SO..."
23,2022-06-12 00:22:37+00:00,1535779569344839680,RT @arthanshaw: @WhiteHouse https://t.co/eFI50yOhzC
24,2022-06-11 02:10:05+00:00,1535444225713659906,@Jim_Jordan How about an impeachment trial congressman?
25,2022-06-11 02:09:09+00:00,1535443991239475202,@Sue89657 Hellbound
26,2022-06-09 01:25:28+00:00,1534708221738373121,@bennyjohnson @dmsteinke Lmfao 😂
27,2022-06-06 22:46:53+00:00,1533943537364267008,Strength in unity https://t.co/Ra56uhxWY0
28,2022-06-05 00:13:29+00:00,1533240556981211136,@AirielHicks The easiest way to eliminate repeat offenders and food for thought to anyone considering offending.
29,2022-06-03 00:00:35+00:00,1532512535894802432,"@jbjk216 @POTUS Lower everyday costs for Americans to reduce inflation. Why didn't anyone think of that, get this man a Nobel prize!"
30,2022-06-02 02:57:13+00:00,1532194597119610881,@DumbassPhotoshp No need for viagra
31,2022-06-02 02:56:50+00:00,1532194499161620480,@LadyShark57 No need for viagra
32,2022-05-30 13:51:24+00:00,1531272066443399179,Thank you to all who have served our country 🙏.  We should never forget those who made the  ultimate sacrifice for our freedom. God bless them and their families. https://t.co/UWf4VCE9Va
33,2022-05-28 00:28:49+00:00,1530345312048529409,"@JcVasquez52 @Sarcasmcat24 They have all the answers, facts however are for heartless immoral conservatives."
34,2022-05-15 14:14:49+00:00,1525842139313233922,"@duck_fisney Move the belt up a little more, above the shoulders, there you go!"
35,2022-05-08 12:27:02+00:00,1523278301313310720,"@michelle__703 People who buy that much soda with EBT cards must be tested for diabetes, after all the government is very concerned about our health and well being."
36,2022-04-30 14:53:19+00:00,1520416010041532423,"@ASoftstar I've been looking for penis lingerie everywhere,  might need a larger size than this though."
37,2022-04-30 14:52:20+00:00,1520415761180807169,"@OlgaInCali They are encouraging more gay relationships to stop the spread of reproduction,  typical globalist propaganda."
38,2022-04-19 23:34:24+00:00,1516560877918605313,"@Rod__Mason Nothing, then see how they plan to proceed."
39,2022-04-16 00:41:06+00:00,1515128113885331458,@TheDoors Who got The Doors' Soft Parade as a birthday or holiday gift 🎁 in 1969?
40,2022-04-16 00:40:01+00:00,1515127838474752002,RT @PeterAlcorn1: Who got The Doors' Soft Parade as a birthday or holiday gift 🎁 in 1969?
41,2022-04-16 00:38:49+00:00,1515127539219451904,Who got The Doors' Soft Parade as a birthday or holiday gift 🎁 in 1969?
